species_1,species_2,16S,gyrB,icd,napA,narG,narK,nirB,nirK,nirS,norB
aaci,ane,2495.0,2374.5,2409.0,2065.5,,1476.0,,,,2005.5
aaci,anp,1877.5,1663.5,1617.0,,,,,,,
aaci,ant,1926.0,1326.0,1323.0,,,,,,,
aaci,aoa,1929.5,2508.0,2319.0,,,831.0,,,,1026.0
aaci,aol,2011.5,2505.0,864.0,,,904.5,,,,987.0
aaci,aon,2018.0,2461.5,889.5,1713.0,,943.5,,,,1063.5
aaci,aos,2513.5,3190.5,2409.0,2040.0,,1567.5,,,,2007.0
aaci,apac,2060.5,2367.0,877.5,,,955.5,,,,1885.5
aaci,ape,1547.0,,858.0,1249.5,,,,,,
aaci,apn,2550.0,3126.0,2298.0,1818.0,,975.0,,,,
aaci,apoc,1888.0,1200.0,1300.5,,,,,,,
aaci,apom,2045.0,2020.5,718.5,,,759.0,,,,1512.0
aaci,app,2006.0,2487.0,871.5,,,939.0,,,,2016.0
aaci,apre,2621.5,3046.5,895.5,1747.5,,969.0,,,,
aaci,aprs,2160.0,2241.0,865.5,1549.5,,879.0,,,,1783.5
aaci,aqa,1854.5,1398.0,1474.5,,,583.5,,,,
aaci,aql,2005.0,,841.5,1599.0,,975.0,,,,927.0
aaci,aqs,2041.0,2346.0,817.5,1597.5,,973.5,,,,1029.0
aaci,arc,1946.0,1221.0,1329.0,,,490.5,,,,
aaci,arl,2556.5,3157.5,2389.5,1933.5,,898.5,,,,
aaci,arm,2494.5,2253.0,2287.5,1725.0,,874.5,,,,
aaci,aro,2044.0,2335.5,844.5,,,,,,,937.5
aaci,art,2523.0,3156.0,2340.0,1849.5,,880.5,,,,
aaci,artp,2552.0,3175.5,2365.5,1815.0,,915.0,,,,
aaci,aru,2545.0,3171.0,2343.0,1845.0,,894.0,,,,
aaci,ary,2556.5,3151.5,2401.5,1930.5,,1003.5,,,,
aaci,asc,1513.0,,844.5,,,,,,,1680.0
aaci,asd,2535.0,2623.5,811.5,1695.0,,933.0,,,,
aaci,asip,1997.0,1918.5,744.0,,,,,,,1348.5
aaci,ask,1902.5,1254.0,1294.5,,,,,,,
aaci,asl,1689.0,1566.0,1467.0,,,,,,,
aaci,asv,2045.0,2025.0,721.5,,,759.0,,,,1509.0
aaci,asw,1971.5,2389.5,897.0,,,,,,,
aaci,ata,2040.5,2302.5,825.0,,,,,,,939.0
aaci,atp,1882.0,1263.0,1302.0,,,,,,,612.0
