SampleID	Sample_Plate	Sample_Well	Nitrite_input	Nitrate_input	Ammonium_input	Soil	Soil_ID	Sample_label2	Sample_type	Titration_type	Unit	Concentration_M	Added_ul	Chloramphenicol	Cycloheximide	Time_point	Sample_label	Replicate	ReplicateID	Soil_and_pH	Time	Soil_pH	Reads_sample	Reads_ecoli	Reads_parabac	Reads_spikein	Reads_sample_only	pH	pH_micro_T0	pH_control_T9	Biomass_proxy
Soil11_SampleB59	SetB	E11	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-3	Slurry	HCl_NaOH	-3	-0.3	20	CHL	None	Soil11_T9	Soil11_E11_-3_CHL	3	Soil11_T9_Slurry_CHL_None_-3_R3	Soil11_pH6.19	T9	6.19	64593	3158	3502	6660	57933	4.807807808	4.316666667	4.426666667	8.698648649
Soil11_SampleB6	SetB	A06	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_9	Slurry	HCl_NaOH	9	0.9	20	None	None	Soil11_T9	Soil11_A06_9_None	1	Soil11_T9_Slurry_None_None_9_R1	Soil11_pH6.19	T9	6.19	59114	3978	4620	8598	50516	3.882882883	4.323333333	4.483333333	5.875319842
Soil11_SampleB60	SetB	E12	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_9	Slurry	HCl_NaOH	9	0.9	20	CHL	None	Soil11_T9	Soil11_E12_9_CHL	3	Soil11_T9_Slurry_CHL_None_9_R3	Soil11_pH6.19	T9	6.19	66221	5652	6933	12585	53636	3.846846847	4.316666667	4.426666667	4.261899086
Soil11_SampleB61	SetB	F01	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-50	Slurry	HCl_NaOH	-50	-5	20	None	None	Soil11_T9	Soil11_F01_-50_None	3	Soil11_T9_Slurry_None_None_-50_R3	Soil11_pH6.19	T9	6.19	63564	1866	2377	4243	59321	8.147147147	4.323333333	4.483333333	13.98090973
Soil11_SampleB62	SetB	F02	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-18	Slurry	HCl_NaOH	-18	-1.8	20	None	None	Soil11_T9	Soil11_F02_-18_None	3	Soil11_T9_Slurry_None_None_-18_R3	Soil11_pH6.19	T9	6.19	39791	1036	1074	2110	37681	6.84	4.323333333	4.483333333	17.85829384
Soil11_SampleB63	SetB	F03	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-10	Slurry	HCl_NaOH	-10	-1	20	None	None	Soil11_T9	Soil11_F03_-10_None	3	Soil11_T9_Slurry_None_None_-10_R3	Soil11_pH6.19	T9	6.19	84250	2254	2342	4596	79654	5.888888889	4.323333333	4.483333333	17.33115753
Soil11_SampleB64	SetB	F04	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-5	Slurry	HCl_NaOH	-5	-0.5	20	None	None	Soil11_T9	Soil11_F04_-5_None	3	Soil11_T9_Slurry_None_None_-5_R3	Soil11_pH6.19	T9	6.19	25782	818	952	1770	24012	5.12012012	4.323333333	4.483333333	13.56610169
Soil11_SampleB65	SetB	F05	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_3	Slurry	HCl_NaOH	3	0.3	20	None	None	Soil11_T9	Soil11_F05_3_None	3	Soil11_T9_Slurry_None_None_3_R3	Soil11_pH6.19	T9	6.19	32131	1241	1529	2770	29361	4.255255255	4.323333333	4.483333333	10.59963899
Soil11_SampleB66	SetB	F06	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_30	Slurry	HCl_NaOH	30	3	20	None	None	Soil11_T9	Soil11_F06_30_None	3	Soil11_T9_Slurry_None_None_30_R3	Soil11_pH6.19	T9	6.19	73796	13501	15864	29365	44431	3.23	4.323333333	4.483333333	1.513059765
Soil11_SampleB67	SetB	F07	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-50	Slurry	HCl_NaOH	-50	-5	20	CHL	None	Soil11_T9	Soil11_F07_-50_CHL	3	Soil11_T9_Slurry_CHL_None_-50_R3	Soil11_pH6.19	T9	6.19	43569	1915	1973	3888	39681	8.099099099	4.316666667	4.426666667	10.20601852
Soil11_SampleB68	SetB	F08	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-18	Slurry	HCl_NaOH	-18	-1.8	20	CHL	None	Soil11_T9	Soil11_F08_-18_CHL	3	Soil11_T9_Slurry_CHL_None_-18_R3	Soil11_pH6.19	T9	6.19	32255	1287	1540	2827	29428	6.777777778	4.316666667	4.426666667	10.40962151
Soil11_SampleB69	SetB	F09	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-10	Slurry	HCl_NaOH	-10	-1	20	CHL	None	Soil11_T9	Soil11_F09_-10_CHL	3	Soil11_T9_Slurry_CHL_None_-10_R3	Soil11_pH6.19	T9	6.19	55615	2442	2760	5202	50413	5.696696697	4.316666667	4.426666667	9.691080354
Soil11_SampleB7	SetB	A07	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-100	Slurry	HCl_NaOH	-100	-10	20	CHL	None	Soil11_T9	Soil11_A07_-100_CHL	1	Soil11_T9_Slurry_CHL_None_-100_R1	Soil11_pH6.19	T9	6.19	51438	2552	3084	5636	45802	8.55	4.316666667	4.426666667	8.126685593
